,area (km2),city,country,gdp,population,target
0,202.0,"Autonomous City of Buenos Aires, Argentina",Argentina,7.9 Billion,3059122,Reduce 30% GHG emissions
1,579.0,"Municipality of Arias, Argentina",Argentina,91 Million,7249,N/A
2,302.0,"Municipality of Armstrong, Argentina",Argentina,150 Million,11484,N/A
3,227.0,"Municipality of Arteaga, Argentina",Argentina,41 Million,3331,N/A
4,274.7,"Municipality of Bariloche, Argentina",Argentina,1.5 Billion,112887,N/A
5,41.77,"Municipality of Bell Ville, Argentina",Argentina,420 Million,34439,N/A
6,2212.0,"Municipality of Bragado, Argentina",Argentina,510 Million,41336,N/A
7,437.53,"Municipality of Camilo Aldao, Argentina",Argentina,64 Million,5197,N/A
8,113.0,"Municipality of Carcarañá, Argentina",Argentina,N/A,16432,N/A
9,3911.0,"Municipality of Carlos Tejedor, Argentina",Argentina,N/A,11570,N/A
10,77.04,"Municipality of Caseros, Argentina",Argentina,29 Million,2339,N/A
11,384.0,"Municipality of Casilda, Argentina",Argentina,450 Million,35058,N/A
12,253.0,"Municipality of Centeno, Argentina",Argentina,40 Million,3116,N/A
13,360.0,"Municipality of Chabas, Argentina",Argentina,88 Million,7180,N/A
14,2287.38,"Municipality of Chacabuco, Argentina",Argentina,600 Million,48703,N/A
15,244.0,"Municipality of Chañar Ladeado, Argentina",Argentina,66 Million,5415,N/A
16,994.57,"Municipality of Colón, Buenos Aires, Argentina",Argentina,310 Million,24890,N/A
17,50.5,"Municipality of Coronel Dominguez, Argentina",Argentina,15 Million,1231,N/A
18,330.0,"Municipality of Correa, Argentina",Argentina,75 Million,6121,N/A
19,103.0,"Municipality of Cosquin, Argentina",Argentina,260 Million,19815,N/A
20,38.2,"Municipality of Cruz Alta, Argentina",Argentina,90 Million,7344,N/A
21,14448.0,"Municipality of General Alvear, Argentina",Argentina,580 Million,46429,N/A
22,2145.28,"Municipality of General Viamonte, Argentina",Argentina,N/A,18074,N/A
23,75.0,"Municipality of Godoy Cruz, Argentina",Argentina,2.3 Billion,191903,N/A
24,4826.84,"Municipality of Guaminí, Argentina",Argentina,140 Million,11826,N/A
25,614.0,"Municipality of Guaymallén, Argentina",Argentina,3.7 Billion,283803,N/A
26,210.0,"Municipality of Herrera, Argentina",Argentina,22 Million,1767,N/A
27,287.0,"Municipality of Inriville, Argentina",Argentina,46 Million,3722,N/A
28,98.96,"Municipality of Juana Koslay, Argentina",Argentina,190 Million,15912,N/A
29,3340.3,"Municipality of Las Flores, Argentina",Argentina,290 Million,23871,N/A
30,1724.0,"Municipality of Lobos, Argentina",Argentina,460 Million,36172,N/A
31,158.0,"Municipality of Los Molinos, Argentina",Argentina,23 Million,1920,N/A
32,43.0,"Municipality of Los Reartes, Argentina",Argentina,18 Million,1426,N/A
33,364.0,"Municipality of Los Surgentes, Argentina",Argentina,35 Million,2795,N/A
34,450.0,"Municipality of Malabrigo, Argentina",Argentina,N/A,7339,N/A
35,106.0,"Municipality of Mendoza, Argentina",Argentina,1.4 Billion,115041,N/A
36,83.3,"Municipality of Monte Buey, Argentina",Argentina,79 Million,6285,N/A
37,72.0,"Municipality of Monte Vera, Argentina",Argentina,110 Million,8284,N/A
38,7.2,"Municipality of Nogoyá, Argentina",Argentina,290 Million,23702,N/A
39,7715.0,"Municipality of Olavarría, Argentina",Argentina,1.4 Billion,111708,N/A
40,137.0,"Municipality of Paraná, Argentina",Argentina,3.1 Billion,247863,N/A
41,31.0,"Municipality of Potrero de los Funes, Argentina",Argentina,N/A,1698,N/A
42,68.0,"Municipality of Pérez, Argentina",Argentina,350 Million,30188,N/A
43,156.0,"Municipality of Rafaela, Argentina",Argentina,1.1 Billion,92945,N/A
44,190.0,"Municipality of Resistencia, Argentina",Argentina,3.6 Billion,290723,N/A
45,3954.92,"Municipality of Rivadavia, Argentina",Argentina,220 Million,17143,N/A
46,1978.87,"Municipality of Rojas, Argentina",Argentina,290 Million,23432,N/A
47,179.0,"Municipality of Rosario, Argentina",Argentina,100 Billion,948312,N/A
48,260.4,"Municipality of Río Cuarto, Argentina",Argentina,1.9 Billion,158298,N/A
49,794.0,"Municipality of Salliqueló, Argentina",Argentina,110 Million,8644,N/A
50,261.66,"Municipality of Salta, Argentina",Argentina,6.8 Billion,521483,N/A
51,857.59,"Municipality of San Antonio de Areco, Argentina",Argentina,130 Million,23138,N/A
52,95.0,"Municipality of San Carlos Sud, Argentina",Argentina,27 Million,2102,N/A
53,399.0,"Municipality of San Fernando del Valle de Catamarca, Argentina",Argentina,2.1 Billion,159703,N/A
54,51.44,"Municipality of San Isidro, Buenos Aires, Argentina",Argentina,N/A,292878,N/A
55,144.31,"Municipality of San Martín de los Andes, Argentina",Argentina,380 Million,28554,N/A
56,82.8,"Municipality of San Miguel, Argentina",Argentina,3.5 Billion,276190,N/A
57,268.0,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,4.9 Billion,391231,N/A
58,58.24,"Municipality of Soldini, Argentina",Argentina,42 Million,3212,N/A
59,72.0,"Municipality of Tafi Viejo, Argentina",Argentina,730 Million,56407,N/A
60,414.0,"Municipality of Totoras, Argentina",Argentina,130 Million,10292,N/A
61,20.0,"Municipality of Uranga, Argentina",Argentina,11 Million,913,N/A
62,47.0,"Municipality of Venado Tuerto, Argentina",Argentina,980 Million,76432,N/A
63,137.1,"Municipality of Villa General Belgrano, Argentina",Argentina,40 Million,8257,N/A
64,155.4,"Municipality of Villa Pehuenia, Argentina",Argentina,N/A,1611,N/A
65,N/A,"Adelaide City Council, Australia",Australia,N/A,22393,N/A
66,2358.0,"Australian Capital Territory Government, Australia",Australia,N/A,400000,N/A
67,556.0,"Byron Shire Council, Australia",Australia,1.5 Billion,32723,N/A
68,98.9,"City of Joondalup, Australia",Australia,5.8 Billion,167623,N/A
69,648.0,"City of Lake Macquarie Council, Australia",Australia,N/A,189006,N/A
70,220.0,"City of Mandurah, Australia",Australia,3 Billion,82700,N/A
71,52.8,"City of Melville, Australia",Australia,1.6 Million,106956,N/A
72,7.0,"City of Subiaco, Australia",Australia,N/A,19693,N/A
