,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
0,"Autonomous City of Buenos Aires, Argentina",Argentina,GHG emission reduction target," The Autonomous City of Buenos Aires has committed to reduce its Community emissions by 30% by 2030 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2008,12742478.0,2030,8919734.0,,3822743.0
57,"Australian Capital Territory Government, Australia",Australia,Renewable energy target,The Australian Capital Territory Government committed to increase its Share of renewable energy in primary energy mix in Community by 100% by 2020The target is going to be reached by activities in  sectors.,,,,,,,
59,"Byron Shire Council, Australia",Australia,Renewable energy target,The Byron Shire Council committed to increase its Installed capacity of Renewable energy in Community to 156000 MW by 2025Current Installed capacity of Renewable energy: 156000. 0 MW 2018The target is going to be reached by activities in  sectors.,,,,,,,
71,"City of Sydney, Australia",Australia,GHG emission reduction target, The City of Sydney has committed to reduce its Community emissions by 70% by 2030 compared to 2006 emission level.,Community,2006,,2030,,70.0,
72,"City of Sydney, Australia",Australia,GHG emission reduction target, The City of Sydney has committed to reduce its Local Government emissions by 70% by 2030 compared to 2006 emission level.,Local Government,2006,,2030,,70.0,
79,"Port Phillip City Council, Australia",Australia,GHG emission reduction target," The Port Phillip City Council has committed to reduce its Community emissions by 7505000tCO2e by 2020. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,1997,16333.0,2020,-2651336.0,,2667668.0
82,"Tweed Shire Council, Australia",Australia,GHG emission reduction target," The Tweed Shire Council has committed to reduce its Community emissions by 20% by 2017 compared to 1996 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport and Waste management sectors.",Community,1996,541473.0,2017,433178.0,,108294.0
83,"Tweed Shire Council, Australia",Australia,GHG emission reduction target," The Tweed Shire Council has committed to reduce its Local Government emissions by 20% by 2017 compared to 1996 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,1996,15291.0,2017,12232.0,,3058.0
84,"Tweed Shire Council, Australia",Australia,Renewable energy target,The Tweed Shire Council committed to increase its Installed capacity of Renewable energy in Local Government to 3 MW by 2025Current Installed capacity of Renewable energy: 0. 23 MW 2018The target is going to be reached by activities in Electricity and Heating & cooling sectors. The Tweed Shire Council committed to increase its Installed capacity of Renewable energy in Local Government to 3 MW by 2025Current Installed capacity of Renewable energy: 0. 23 MW 2018The target is going to be reached by activities in Electricity and Heating & cooling sectors.,,,,,,,
85,"Tweed Shire Council, Australia",Australia,Energy efficiency target,15% Energy efficiency improvement by 2022The Tweed Shire Council committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 15% by 2022 compared to 2017 levels. Primary energy energy consumption: 22000. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors,,,,,,,
