,city,country,plan_name,plan_type,start year
0,"Autonomous City of Buenos Aires, Argentina",Argentina,"Autonomous City of Buenos Aires, Argentina",Climate mitigation plan,2014
1,"Autonomous City of Buenos Aires, Argentina",Argentina,"Autonomous City of Buenos Aires, Argentina",Climate adaptation /resilience plan,2018
2,"Adelaide City Council, Australia",Australia,"Adelaide City Council, Australia",,
3,"Adelaide City Council, Australia",Australia,"Adelaide City Council, Australia",,
4,"Australian Capital Territory Government, Australia",Australia,"Australian Capital Territory Government, Australia",,2012
5,"Byron Shire Council, Australia",Australia,"Byron Shire Council, Australia",,2004
6,"City of Joondalup, Australia",Australia,"City of Joondalup, Australia",Integrated climate plan,2014
7,"City of Sydney, Australia",Australia,"City of Sydney, Australia",Climate adaptation /resilience plan,2018
8,"City of Sydney, Australia",Australia,"City of Sydney, Australia",Climate mitigation plan,2018
9,"Melbourne City Council, Australia",Australia,"Melbourne City Council, Australia",Climate mitigation plan,2014
10,"Melbourne City Council, Australia",Australia,"Melbourne City Council, Australia",Climate adaptation /resilience plan,2018
11,"Mornington Peninsula Shire Council, Australia",Australia,"Mornington Peninsula Shire Council, Australia",Climate adaptation /resilience plan,2018
12,"Mornington Peninsula Shire Council, Australia",Australia,"Mornington Peninsula Shire Council, Australia",Climate mitigation plan,2013
13,"Port Phillip City Council, Australia",Australia,"Port Phillip City Council, Australia",Climate adaptation /resilience plan,2018
14,"Port Phillip City Council, Australia",Australia,"Port Phillip City Council, Australia",Climate mitigation plan,2018
15,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",Climate adaptation /resilience plan,2009
16,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",,2003
17,"Tweed Shire Council, Australia",Australia,"Tweed Shire Council, Australia",,2017
18,"Yarra City Council, Australia",Australia,"Yarra City Council, Australia",,2013
19,"Yarra City Council, Australia",Australia,"Yarra City Council, Australia",,2010
20,"Municipality of Belo Horizonte, Brazil",Brazil,"Municipality of Belo Horizonte, Brazil",Integrated climate plan,2014
21,"Municipality of Fortaleza, Brazil",Brazil,"Municipality of Fortaleza, Brazil",,
22,"Municipality of Porto Alegre, Brazil",Brazil,"Municipality of Porto Alegre, Brazil",,2016
23,"Municipality of Recife, Brazil",Brazil,"Municipality of Recife, Brazil",,2014
24,"Municipality of Rio de Janeiro, Brazil",Brazil,"Municipality of Rio de Janeiro, Brazil",Climate mitigation plan,2013
25,"Municipality of Sorocaba, Brazil",Brazil,"Municipality of Sorocaba, Brazil",Climate mitigation plan,
26,"City of North Vancouver, Canada",Canada,"City of North Vancouver, Canada",,2014
27,"City of Thunder Bay, ON, Canada",Canada,"City of Thunder Bay, ON, Canada",Integrated climate plan,2014
28,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate mitigation plan,
29,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate adaptation /resilience plan,2018
30,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate adaptation /resilience plan,2012
31,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",Climate mitigation plan,2015
32,"City of Vancouver, BC, Canada",Canada,"City of Vancouver, BC, Canada",,2011
33,"Town of Halton Hills, ON, Canada",Canada,"Town of Halton Hills, ON, Canada",Climate mitigation plan,2015
34,"Municipality of Independencia, Chile",Chile,"Municipality of Independencia, Chile",Climate mitigation plan,2016
35,"Municipality of Independencia, Chile",Chile,"Municipality of Independencia, Chile",Climate mitigation plan,2015
36,"Municipality of Providencia, Chile",Chile,"Municipality of Providencia, Chile",Climate mitigation plan,2016
37,"Municipality of Santiago, Chile",Chile,"Municipality of Santiago, Chile",Climate adaptation /resilience plan,2015
38,"Municipality of Santiago, Chile",Chile,"Municipality of Santiago, Chile",Climate mitigation plan,2016
39,"Municipality of Santiago, Chile",Chile,"Municipality of Santiago, Chile",Climate mitigation plan,2016
40,"Municipality of Valdivia, Chile",Chile,"Municipality of Valdivia, Chile",Climate adaptation /resilience plan,2015
41,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,"Kaohsiung City Government, Chinese Taipei",Climate adaptation /resilience plan,2013
42,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,"Kaohsiung City Government, Chinese Taipei",Climate mitigation plan,2014
43,"New Taipei City Government, Chinese Taipei",Chinese Taipei,"New Taipei City Government, Chinese Taipei",Climate mitigation plan,2018
44,"New Taipei City Government, Chinese Taipei",Chinese Taipei,"New Taipei City Government, Chinese Taipei",Climate adaptation /resilience plan,2018
45,"Taichung City Government, Chinese Taipei",Chinese Taipei,"Taichung City Government, Chinese Taipei",Climate mitigation plan,2018
46,"Taichung City Government, Chinese Taipei",Chinese Taipei,"Taichung City Government, Chinese Taipei",Climate adaptation /resilience plan,
47,"Tainan City Government, Chinese Taipei",Chinese Taipei,"Tainan City Government, Chinese Taipei",Climate adaptation /resilience plan,2018
48,"Tainan City Government, Chinese Taipei",Chinese Taipei,"Tainan City Government, Chinese Taipei",Climate mitigation plan,2014
49,"Taipei City Government, Chinese Taipei",Chinese Taipei,"Taipei City Government, Chinese Taipei",Integrated climate plan,2018
50,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,"Taoyuan City Government, Chinese Taipei",,2016
51,"Capital District of Bogotá, Colombia",Colombia,"Capital District of Bogotá, Colombia",,2015
52,"Capital District of Bogotá, Colombia",Colombia,"Capital District of Bogotá, Colombia",Integrated climate plan,2018
53,"City of San Jerónimo de Montería, Colombia",Colombia,"City of San Jerónimo de Montería, Colombia",,2015
54,"Municipality of Ibagué, Colombia",Colombia,"Municipality of Ibagué, Colombia",Climate mitigation plan,2016
55,"Municipality of Ibagué, Colombia",Colombia,"Municipality of Ibagué, Colombia",Climate adaptation /resilience plan,2016
56,"Municipality of Ibagué, Colombia",Colombia,"Municipality of Ibagué, Colombia",Integrated climate plan,2016
57,"Municipality of Ibagué, Colombia",Colombia,"Municipality of Ibagué, Colombia",Integrated climate plan,2016
58,"Municipality of Santiago de Cali, Colombia",Colombia,"Municipality of Santiago de Cali, Colombia",,2016
59,"City of Copenhagen, Denmark",Denmark,"City of Copenhagen, Denmark",Climate adaptation /resilience plan,2018
60,"Hoeje-Taastrup Municipality, Denmark",Denmark,"Hoeje-Taastrup Municipality, Denmark",Climate mitigation plan,2018
61,"Hoeje-Taastrup Municipality, Denmark",Denmark,"Hoeje-Taastrup Municipality, Denmark",Climate adaptation /resilience plan,2018
62,"Municipality of Santa Cruz, Ecuador",Ecuador,"Municipality of Santa Cruz, Ecuador",,2014
63,"Municipality of Santa Cruz, Ecuador",Ecuador,"Municipality of Santa Cruz, Ecuador",,2016
64,"Municipality of Santa Cruz, Ecuador",Ecuador,"Municipality of Santa Cruz, Ecuador",,2016
65,"Municipality of Santa Cruz, Ecuador",Ecuador,"Municipality of Santa Cruz, Ecuador",,2012
66,"Municipality of Santa Cruz, Ecuador",Ecuador,"Municipality of Santa Cruz, Ecuador",,2016
67,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,"Municipality of the Metropolitan District of Quito, Ecuador",Climate mitigation plan,2016
68,"City of Paris, France",France,"City of Paris, France",Climate mitigation plan,2018
69,"City of Freiburg im Breisgau, Germany",Germany,"City of Freiburg im Breisgau, Germany",Climate mitigation plan,2018
70,"Municipality of Guatemala, Guatemala",Guatemala,"Municipality of Guatemala, Guatemala",,2008
71,"Municipality of Guatemala, Guatemala",Guatemala,"Municipality of Guatemala, Guatemala",,
72,"Municipality of Guatemala, Guatemala",Guatemala,"Municipality of Guatemala, Guatemala",,2007
73,"Municipality of Guatemala, Guatemala",Guatemala,"Municipality of Guatemala, Guatemala",,2008
74,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2016
75,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2011
76,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2008
77,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2016
78,"Municipality of Pachalum, Guatemala",Guatemala,"Municipality of Pachalum, Guatemala",,2016
79,"Municipality of Pachalum, Guatemala",Guatemala,"Municipality of Pachalum, Guatemala",,2017
80,"Municipality of Villa Nueva, Guatemala",Guatemala,"Municipality of Villa Nueva, Guatemala",,2014
81,"Bengaluru Municipal Corporation, India",India,"Bengaluru Municipal Corporation, India",Climate adaptation /resilience plan,2014
82,"Coimbatore City Municipal Corporation, India",India,"Coimbatore City Municipal Corporation, India",Integrated climate plan,2013
83,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2017
84,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2012
85,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2017
86,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2017
87,"Kochi Municipal Corporation, India",India,"Kochi Municipal Corporation, India",Integrated climate plan,2016
88,"Panaji City Municipal Corporation, India",India,"Panaji City Municipal Corporation, India",,2015
89,"Rajkot Municipal Corporation, India",India,"Rajkot Municipal Corporation, India",Climate mitigation plan,2016
90,"Surat Municipal Corporation, India",India,"Surat Municipal Corporation, India",Climate mitigation plan,2011
91,"Surat Municipal Corporation, India",India,"Surat Municipal Corporation, India",Climate adaptation /resilience plan,2016
