,name,entity_type,constituency,coordinator,city,country,remarks,const
0,2050 Climate Group,Non-governmental organizations,Constituency - Youth,Ms. Sophie Eastwood,Edinburgh,United Kingdom of Great Britain and Northern Ireland,,Youth
1,2° investing initiative,Non-governmental organizations,Constituency - Research and independent,Mr. Thibaut Ghirardi,Paris,France,,RINGO
2,350 the Climate Movement in Denmark,Non-governmental organizations,Constituency - Youth,Ms. Esther Michelsen Kjeldahl,Copenhagen,Denmark,,Youth
3,350.org,Non-governmental organizations,Constituency - Environmental CJN,Ms. Cansin Leylim Ilgaz,Brooklyn,United States of America,,ENGO
4,A Rocha International,Non-governmental organizations,Constituency - Environmental,Mr. Samuel Chiu,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
5,A Sud Ecology and Cooperation - Onlus,Non-governmental organizations,Constituency - Environmental,Ms. Lucie Greyl,Rome,Italy,,ENGO
6,A Well-Fed World,Non-governmental organizations,Constituency - Environmental,Ms. Dawn Moncrief,"Washington, DC",United States of America,,ENGO
7,Abdullah Bin Hamad Al-Attiyah International Foundation for Energy and Sustainable Development,Non-governmental organizations,Constituency - Research and independent,Mr. John Kilani,Doha,Qatar,,RINGO
8,Abertay University,Non-governmental organizations,Constituency - Research and independent,Ms. Rebecca Wade,Dundee,United Kingdom of Great Britain and Northern Ireland,,RINGO
9,Abibimman Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kenneth Nana Amoateng,Tena,Ghana,,ENGO
10,Academy of Science of South Africa,Non-governmental organizations,Constituency - Research and independent,Ms. Susan Veldsman,Pretoria,South Africa,,RINGO
11,ACT Alliance - Action by Churches Together,Non-governmental organizations,Constituency - Environmental CAN,Mr. Thorsten Göbel,Geneva,Switzerland,,ENGO
12,Action des Chrétiens Activistes des Droits de l’Homme à Shabunda,Non-governmental organizations,Constituency - Environmental,Mr. Descartes Mponge,Bukavu,Democratic Republic of the Congo,completed manually from the UNFCCC website,ENGO
13,"Action Group on Erosion, Technology and Concentration (ETC Group)",Non-governmental organizations,Constituency - Environmental,Mr. Thomas John Wakeford,Val David,Canada,,ENGO
14,Action pour la taxation des transactions pour l’aide aux citoyens,Non-governmental organizations,Constituency - Research and independent,Ms. Jeanne Planche,Paris,France,completed manually from the UNFCCC website,RINGO
15,Action pour le Respect et la Protection de l’Environnement,Non-governmental organizations,Constituency - Environmental,Mr. Marcelin Adamou Abou,Ngaoundere,Cameroon,completed manually from the UNFCCC website,ENGO
16,Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,Constituency - Environmental,Ms. Birgit Engel,Luxembourg,Luxembourg,completed manually from the UNFCCC website,ENGO
17,ActionAid International - South Africa,Non-governmental organizations,Constituency - Environmental CAN,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,,ENGO
18,Adelphi Research,Non-governmental organizations,Constituency - Research and independent,Mr. Dennis Taenzler,Berlin,Germany,,RINGO
19,Advocates for International Development,Non-governmental organizations,Constituency - Business and Industry,Ms. Yasmin Batliwala,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
20,Africa Centre for Citizens Orientation,Non-governmental organizations,Constituency - Environmental,Mr. Peter Olugbenga Adeleye,Kurudu,Nigeria,,ENGO
21,Africa Youths International Development Foundation,Non-governmental organizations,Constituency - Youth,Mr. Tunji John Asaolu,Abuja,Nigeria,,Youth
22,African Centre for Climate Actions and Rural Development Initiative,Non-governmental organizations,Constituency - Environmental,Sr. Prof.Augustine Arukwe,Effurun-Delta State,Nigeria,,ENGO
23,African Climate Change Research Centre,Non-governmental organizations,Constituency - Research and independent,Mr. Nura Jibo,Dutse,Nigeria,,RINGO
24,African Forest Forum,Non-governmental organizations,Constituency - Environmental,Mr. Godwin Kowero,Nairobi,Kenya,,ENGO
25,African Network of Young Leaders for Peace and Sustainable Development,Non-governmental organizations,Constituency - Environmental,Mr. Ismail Joel Eboa Eyoum,Yaoundé,Cameroon,,ENGO
26,African Smart Cities Innovation Foundation,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. David Olatunji,Utako,Nigeria,,LGMA
27,African Wildlife,Non-governmental organizations,Constituency - Environmental,Mr. Charly Facheux,Nairobi,Kenya,,ENGO
28,Agriconsulting S.p.A.,Non-governmental organizations,Constituency - Business and Industry,Mr. Giorgio Andreoli,Rome,Italy,,BINGO
29,Agricord vzw,Non-governmental organizations,Constituency - Farmers,Ms. Gabriela Quiroga Gilardoni,Brussels,Belgium,,Farmers
30,AgroParisTech,Non-governmental organizations,Constituency - Research and independent,Mme Bluteau Hélène,Paris,France,,RINGO
31,Air and Waste Management Association,Non-governmental organizations,Constituency - Environmental,Ms. Stephanie Glyptis,Pittsburgh,United States of America,,ENGO
32,Airlines for America,Non-governmental organizations,Constituency - Business and Industry,Ms. Nancy Young,Washington,United States of America,,BINGO
33,AJEMALEBU Self Help,Non-governmental organizations,Constituency - Environmental,Mr. Harrison Ajebe Nnoko Ngaaje,Kumba,Cameroon,,ENGO
34,Akatu Institute,Non-governmental organizations,Constituency - Environmental,Mr. Helio Mattar,São Paulo,Brazil,,ENGO
