,name,entity_type,constituency,coordinator,city,country,remarks,const
0,2° Investing Initiative,Non-governmental organizations,Constituency - Research and independent,Mr. Thibaut Ghirardi,Paris,France,completed manually from UNFCCC website,RINGO
1,A SEED Europe,Non-governmental organizations,Constituency - Environmental,Mr. Flip Vonk,Amsterdam,Netherlands,,ENGO
2,Aarhus University,Non-governmental organizations,Constituency - Research and independent,Mr. Knud Warming,Aarhus C,Denmark,,RINGO
3,Abibimman Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kenneth Nana Amoateng,Tena,Ghana,,ENGO
4,Academy for Mountain Environics,Non-governmental organizations,Constituency - Environmental,Mr. Sreedhar Ramamurthi,New Delhi,India,,ENGO
5,ACT Alliance - Action by Churches Together,Non-governmental organizations,Constituency - Environmental CAN,Mr. Thorsten Göbel,Geneva,Switzerland,,ENGO
6,Action Against Hunger,Non-governmental organizations,Constituency - Environmental,Mme Peggy Pascal,Paris,France,,ENGO
7,Action pour la taxation des transactions pour l'aide aux citoyens,Non-governmental organizations,Constituency - Research and independent,Ms. Jeanne Planche,Paris,France,,RINGO
8,Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,Constituency - ENGO,M. Dietmar Mirkes,Luxembourg,Luxembourg,,ENGO
9,ActionAid International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Teresa Maria Isabel Anderson,Johannesburg,South Africa,,ENGO
10,Adelphi Research,Non-governmental organizations,Constituency - Research and independent,Mr. Dennis Taenzler,Berlin,Germany,,RINGO
11,Africa Youths International Development Foundation,Non-governmental organizations,Constituency - Youth,Mr. Tunji John Asaolu,Abuja,Nigeria,,Youth
12,African Climate Change Research Centre,Non-governmental organizations,Constituency - Research and independent,Mr. Nura Jibo,Dutse,Nigeria,,RINGO
13,African Forest Forum,Non-governmental organizations,Constituency - Environmental,Mr. Godwin Kowero,Nairobi,Kenya,,ENGO
14,African Wildlife Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Charly Facheux,Nairobi,Kenya,,ENGO
15,Agence régionale de l'environnement et des nouvelles energies d'Ile-de-France,Non-governmental organizations,Constituency - Environmental,Ms. Tiphaine Durand,Pantin,France,,ENGO
16,Agriconsulting S.p.A.,Non-governmental organizations,Constituency - Business and Industry,Mr. Giorgio Andreoli,Rome,Italy,,BINGO
17,Agronomes et vétérinaires sans frontières,Non-governmental organizations,Constituency - Farmers,Ms. Katia Roesch,Lyon,France,,Farmers
18,Agropolis International,Non-governmental organizations,Constituency - Research and independent,Ms. Melanie Broin,Montpellier,France,,RINGO
19,Airlines for America,Non-governmental organizations,Constituency - ENGO,Ms. Nancy Young,Washington,United States of America,,ENGO
20,All India Women's Conference,Non-governmental organizations,Constituency - Women and Gender,Ms. Rakesch Dhawan,New Delhi,India,,Women and Gender
21,Alliance for Climate Education,Non-governmental organizations,Constituency - Environmental CAN,Ms. Leah Qusba,Oakland,United States of America,,ENGO
22,Alliance for Responsible Atmospheric Policy,Non-governmental organizations,Constituency - Business and Industry,Mr. Stephen Van Maren,Arlington,United States of America,,BINGO
23,Alliance froid climatisation environnement,Non-governmental organizations,Constituency - Business and Industry,Mr. François Heyndrickx,L'Aigle,France,,BINGO
24,"Alliance pour la Biodiversité, le Climat et la Durabilité dans les Alpes",Non-governmental organizations,Constituency - Environmental,M. Jean-Loup Bertez,Talloires,France,,ENGO
25,Alliance to Save Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Laura Van Wie McGrory,Washington,United States of America,,BINGO
26,Alofa Tuvalu,Non-governmental organizations,Constituency - Environmental CAN,Ms. Fanny Heros,Paris,France,,ENGO
27,Amazon Aid Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Heather Mytelka,Charlottesville,United States of America,,ENGO
28,Amazon Center for Environmental Education and Research Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Paul Alan Morgan,Westchester,United States of America,,ENGO
29,Amazon Environmental Research Institute,Non-governmental organizations,Constituency - Environmental,Ms. Gabriela Savian,Belem,Brazil,,ENGO
30,Amazon Institute of People and the Environment,Non-governmental organizations,Constituency - Research and independent,Sra. Brenda Brito do Carmo,Belém,Brazil,,RINGO
